,MAE,MSE,R2
linear_model,2.476635456085205,12.382620216026389,0.8103928463932719
dnn_model,1.6842000484466553,5.551206914002485,0.9149979145218615
tpot_extratrees,1.770828231292517,6.174544969246031,0.8775696225276941
